,title,type,date,ID,clearname,fullID
V18820304WA,Hilsen til William Archer på fotografi,greeting,1882-03-04,WA,WILLIAM ARCHER,peWA
V18821009FamG,Hilsen i familien Gröbners stambok,greeting,1882-10-09,FamG,N/A,N/A
V18821203HEPCA,Dedikasjon til Pauline Ahlberg i En Folkefiende,dedication,1882-12-03,HEPCA,[HENRIETTE ELISABETH] PAULINE [CHRISTINA] AHLBERG,peHEPCA
V18821203CAM,Dedikasjon til konsul Myhlenphort i En Folkefiende,dedication,1882-12-03,CAM,CHRISTOPHER ANDREAS MYHLENPHORT,peCAM
V18821209NVo,Dedikasjon til Nils Vogt i En Folkefiende,dedication,1882-12-09,NVo,NILS VOGT,peNVo
V18821212LSM,Hilsen i Leopold von Sacher-Masochs album,greeting,1882-12-12,LSM,N/A,N/A
V1882NN,Dedikasjon til ukjent i En Folkefiende,dedication,1882,NN,N/A,N/A
V18820108Tre,"Hilsen til ukjent på fotografi, tilhører Fru R. Tresselt",greeting,1882,0108Tre,N/A,N/A
V18830516HEPCA,Dedikasjon til Pauline Ahlberg i Gildet på Solhaug,dedication,1883-05-16,HEPCA,[HENRIETTE ELISABETH] PAULINE [CHRISTINA] AHLBERG,peHEPCA
V18831007MarGr,Dedikasjon til Marie Gröbner i Nordische Heerfahrt,dedication,1883-10-07,MarGr,MARIE (Maria) GRÖBNER,peMarGr
V1883HotG,"Hilsen i gjestebok, Gröbners Hotel (1883)",greeting,1883,HotG,HOTEL GRÖBNER,orgHotG
V18840203SNUP,Dedikasjon til den svensk-norske understøttelsesforening i Paris i Digte,dedication,1884-02-03,SNUP,N/A,N/A
V18860308EGo,Hilsen til Edmund Gosse på fotografi,greeting,1886-03-08,EGo,EDMUND [WILLIAM] GOSSE,peEGo
V18860705BG,Dedikasjon til B. Grønvold i Kongs-Emnerne,dedication,1886-07-05,BG,BERNT [BORCHGREVINK] GRØNVOLD,peBG
V18860731LuGr,Hilsen til Ludwig Gröbner på fotografi,greeting,1886-07-31,LuGr,LUDWIG GRÖBNER,peLuGr
V18861125EK,Dedikasjon til Emma Klingenfeld i Rosmersholm,dedication,1886-11-25,EK,EMMA KLINGENFELD,peEK
Vudat188703NN,Hilsen til ukjent på autografvifte,greeting,1887-03,NN,N/A,N/A
Vudat1887NN,"Prøve på håndskrift på baksiden av fotografi, montert i ramme",greeting,1887,NN,N/A,N/A
V18880108RHo,Hilsen til Rikke Holst/Tresselt på fotografi,greeting,1888-01-08,RHo,RIKKE (Henrikke) HOLST/TRESSELT,peRHo
V18880221Aub,Hilsen til Ludvig Aubert på fotografi,greeting,1888-02-21,Aub,N/A,N/A
V18880308KG,"Dedikasjon til hertugen av Sachsen-Meiningen i Kaiser und Galiläer , 1888",dedication,1888-03-08,KG,[OLE] KRISTIAN GLØERSEN,peKG
